createAt,manageObject,M8039C6,M8039C4,M8039C5
2025-05-06T19:45:00.000-03:00:00,NE-MRBTS-414225,26,80.0,656.0
2025-05-06T20:00:00.000-03:00:00,NE-MRBTS-414225,34,48.0,353.0
2025-05-06T20:15:00.000-03:00:00,NE-MRBTS-414225,19,304.0,544.0
2025-05-06T20:30:00.000-03:00:00,NE-MRBTS-414225,18,318.0,561.0
2025-05-06T20:45:00.000-03:00:00,NE-MRBTS-414225,25,256.0,496.0
2025-05-06T21:00:00.000-03:00:00,NE-MRBTS-414225,30,128.0,448.0
2025-05-06T21:15:00.000-03:00:00,NE-MRBTS-414225,31,144.0,432.0
2025-05-06T21:30:00.000-03:00:00,NE-MRBTS-414225,39,,272.0
2025-05-06T21:45:00.000-03:00:00,NE-MRBTS-414225,35,32.0,432.0
2025-05-06T22:00:00.000-03:00:00,NE-MRBTS-414225,44,,240.0
2025-05-06T22:15:00.000-03:00:00,NE-MRBTS-414225,51,,16.0
2025-05-06T22:30:00.000-03:00:00,NE-MRBTS-414225,46,,16.0
2025-05-06T22:45:00.000-03:00:00,NE-MRBTS-414225,37,32.0,336.0
2025-05-06T23:00:00.000-03:00:00,NE-MRBTS-414225,47,,224.0
2025-05-06T23:15:00.000-03:00:00,NE-MRBTS-414225,53,,80.0
2025-05-06T23:30:00.000-03:00:00,NE-MRBTS-414225,36,32.0,368.0
2025-05-06T23:45:00.000-03:00:00,NE-MRBTS-414225,38,64.0,304.0
2025-05-07T00:00:00.000-03:00:00,NE-MRBTS-414225,37,16.0,320.0
2025-05-07T00:15:00.000-03:00:00,NE-MRBTS-414225,38,16.0,368.0
2025-05-07T00:30:00.000-03:00:00,NE-MRBTS-414225,32,131.0,384.0
2025-05-07T00:45:00.000-03:00:00,NE-MRBTS-414225,27,128.0,576.0
2025-05-07T01:00:00.000-03:00:00,NE-MRBTS-414225,33,32.0,496.0
2025-05-07T01:15:00.000-03:00:00,NE-MRBTS-414225,35,,512.0
