createAt,manageObject,M8066C17,M8066C19,M8066C29,M8066C30,M8066C56,M8066C57,M8066C55,M8066C14,M8066C15,M8066C16,M8066C18,M8066C58,M8066C20,M8066C27
2025-05-06T16:15:00.000-03:00:00,NE-MRBTS-414225,146250,630040,,,,,,,,,,,,
2025-05-06T16:30:00.000-03:00:00,NE-MRBTS-414225,146250,629968,,,,,,,,,,,,
2025-05-06T16:45:00.000-03:00:00,NE-MRBTS-414225,146250,630040,,,,,,,,,,,,
2025-05-06T17:00:00.000-03:00:00,NE-MRBTS-414225,146250,629968,,,,,,,,,,,,
2025-05-06T17:15:00.000-03:00:00,NE-MRBTS-414225,146250,630008,,,,,,,,,,,,
2025-05-06T17:30:00.000-03:00:00,NE-MRBTS-414225,146250,630000,,,,,,,,,,,,
2025-05-06T17:45:00.000-03:00:00,NE-MRBTS-414225,146250,629976,,,,,,,,,,,,
2025-05-06T18:00:00.000-03:00:00,NE-MRBTS-414225,146250,630032,,,,,,,,,,,,
2025-05-06T18:15:00.000-03:00:00,NE-MRBTS-414225,146250,629976,,,,,,,,,,,,
2025-05-06T18:30:00.000-03:00:00,NE-MRBTS-414225,146250,630032,,,,,,,,,,,,
2025-05-06T18:45:00.000-03:00:00,NE-MRBTS-414225,146250,629976,,,,,,,,,,,,
2025-05-06T19:00:00.000-03:00:00,NE-MRBTS-414225,146250,630016,,,,,,,,,,,,
2025-05-06T19:15:00.000-03:00:00,NE-MRBTS-414225,146250,629992,,,,,,,,,,,,
2025-05-06T19:30:00.000-03:00:00,NE-MRBTS-414225,146250,629984,,,,,,,,,,,,
2025-05-06T19:45:00.000-03:00:00,NE-MRBTS-414225,146250,630024,,,,,,,,,,,,
2025-05-06T20:00:00.000-03:00:00,NE-MRBTS-414225,146250,629968,,,,,,,,,,,,
2025-05-06T20:15:00.000-03:00:00,NE-MRBTS-414225,146250,630040,,,,,,,,,,,,
2025-05-06T20:30:00.000-03:00:00,NE-MRBTS-414225,146250,629968,,,,,,,,,,,,
2025-05-06T20:45:00.000-03:00:00,NE-MRBTS-414225,146250,630040,,,,,,,,,,,,
2025-05-06T21:00:00.000-03:00:00,NE-MRBTS-414225,146250,629968,,,,,,,,,,,,
2025-05-06T21:15:00.000-03:00:00,NE-MRBTS-414225,146250,630008,,,,,,,,,,,,
2025-05-06T21:30:00.000-03:00:00,NE-MRBTS-414225,146250,630000,,,,,,,,,,,,
2025-05-06T21:45:00.000-03:00:00,NE-MRBTS-414225,146250,629976,,,,,,,,,,,,
2025-05-06T22:00:00.000-03:00:00,NE-MRBTS-414225,146250,630032,,,,,,,,,,,,
2025-05-06T22:15:00.000-03:00:00,NE-MRBTS-414225,146250,629976,,,,,,,,,,,,
2025-05-06T22:30:00.000-03:00:00,NE-MRBTS-414225,146250,630032,,,,,,,,,,,,
2025-05-06T22:45:00.000-03:00:00,NE-MRBTS-414225,146250,629976,,,,,,,,,,,,
2025-05-06T23:00:00.000-03:00:00,NE-MRBTS-414225,146250,630016,,,,,,,,,,,,
2025-05-06T23:15:00.000-03:00:00,NE-MRBTS-414225,146250,629992,,,,,,,,,,,,
2025-05-06T23:30:00.000-03:00:00,NE-MRBTS-414225,146250,629984,,,,,,,,,,,,
2025-05-06T23:45:00.000-03:00:00,NE-MRBTS-414225,146250,630024,,,,,,,,,,,,
2025-05-07T00:00:00.000-03:00:00,NE-MRBTS-414225,146250,629968,,,,,,,,,,,,
2025-05-07T00:15:00.000-03:00:00,NE-MRBTS-414225,146250,630040,,,,,,,,,,,,
2025-05-07T00:30:00.000-03:00:00,NE-MRBTS-414225,146250,629968,,,,,,,,,,,,
2025-05-07T00:45:00.000-03:00:00,NE-MRBTS-414225,146250,630040,,,,,,,,,,,,
2025-05-07T01:00:00.000-03:00:00,NE-MRBTS-414225,146250,629968,,,,,,,,,,,,
2025-05-07T01:15:00.000-03:00:00,NE-MRBTS-414225,146334,630008,,,,,,33.0,7.0,384.0,6.0,,,
2025-05-07T01:30:00.000-03:00:00,NE-MRBTS-414225,146250,630000,,,,,,,,,,,,
2025-05-07T01:45:00.000-03:00:00,NE-MRBTS-414225,146250,629976,,,,,,,,,,,,
2025-05-07T02:00:00.000-03:00:00,NE-MRBTS-414225,146250,630032,,,,,,,,,,,,
2025-05-07T02:15:00.000-03:00:00,NE-MRBTS-414225,146250,629976,,,,,,,,,,,,
2025-05-07T02:30:00.000-03:00:00,NE-MRBTS-414225,146250,630032,,,,,,,,,,,,
2025-05-07T02:45:00.000-03:00:00,NE-MRBTS-414225,146250,629976,,,,,,,,,,,,
2025-05-07T03:00:00.000-03:00:00,NE-MRBTS-414225,146250,630016,,,,,,,,,,,,
2025-05-07T03:15:00.000-03:00:00,NE-MRBTS-414225,146250,629992,,,,,,,,,,,,
2025-05-07T03:30:00.000-03:00:00,NE-MRBTS-414225,146250,629984,,,,,,,,,,,,
2025-05-07T03:45:00.000-03:00:00,NE-MRBTS-414225,146250,630024,,,,,,,,,,,,
2025-05-07T04:00:00.000-03:00:00,NE-MRBTS-414225,146250,629968,,,,,,,,,,,,
2025-05-07T04:15:00.000-03:00:00,NE-MRBTS-414225,146250,630040,,,,,,,,,,,,
2025-05-07T04:30:00.000-03:00:00,NE-MRBTS-414225,146250,629968,,,,,,,,,,,,
2025-05-08T10:00:00.000-03:00:00,NE-MRBTS-414225,146250,629977,,,,,,,,,,,,
2025-05-08T10:15:00.000-03:00:00,NE-MRBTS-414225,146250,629999,,,,,,,,,,,,
2025-05-08T10:30:00.000-03:00:00,NE-MRBTS-414225,180765,630009,,,,,,42405.0,9957.0,493440.0,6146.0,,,
2025-05-08T10:45:00.000-03:00:00,NE-MRBTS-414225,146250,629975,,,,,,,,,,,,
2025-05-08T11:00:00.000-03:00:00,NE-MRBTS-414225,146250,630033,,,,,,,,,,,,
2025-05-08T11:15:00.000-03:00:00,NE-MRBTS-414225,146250,629975,,,,,,,,,,,,
2025-05-08T11:30:00.000-03:00:00,NE-MRBTS-414225,146250,630033,,,,,,,,,,,,
2025-05-08T11:45:00.000-03:00:00,NE-MRBTS-414225,146250,629975,,,,,,,,,,,,
2025-05-08T12:00:00.000-03:00:00,NE-MRBTS-414225,146250,630009,,,,,,,,,,,,
2025-05-08T12:15:00.000-03:00:00,NE-MRBTS-414225,146250,629999,,,,,,,,,,,,
