createAt,manageObject,M8047C0,M8047C1,M8047C2,M8047C3,M8047C9,M8047C10,M8047C11,M8047C14,M8047C17,M8047C18,M8047C19,M8047C20,M8047C21,M8047C22,M8047C23,M8047C24,M8047C25,M8047C26,M8047C4,M8047C5,M8047C13,M8047C6,M8047C15,M8047C16
2025-05-08T15:00:00.000-04:00:00,NE-MRBTS-660701,32835584.0,8340072,7149.0,72991,3907.0,7861.0,7013,13.0,3152.0,646.0,5527.0,48981,5114208.0,54434.0,5156.0,61438,481320.0,46038.0,5142712.0,1262781,77.0,11095,17450.0,34128.0
2025-05-08T15:15:00.000-04:00:00,NE-MRBTS-660701,86676280.0,18823304,13853.0,65854,6381.0,15951.0,12191,50.0,4945.0,1256.0,12009.0,42206,9932472.0,90416.0,11805.0,61537,1216888.0,75704.0,12966149.0,2813603,169.0,19615,30565.0,53366.0
2025-05-08T15:15:00.000-04:00:00,NE-MRBTS-660701,86676280.0,18823304,13853.0,65854,6381.0,15951.0,12191,50.0,4945.0,1256.0,12009.0,42206,9932472.0,90416.0,11805.0,61537,1216888.0,75704.0,12966149.0,2813603,169.0,19615,30565.0,53366.0
2025-05-08T15:15:00.000-04:00:00,NE-MRBTS-660701,86676280.0,18823304,13853.0,65854,6381.0,15951.0,12191,50.0,4945.0,1256.0,12009.0,42206,9932472.0,90416.0,11805.0,61537,1216888.0,75704.0,12966149.0,2813603,169.0,19615,30565.0,53366.0
2025-05-08T15:15:00.000-04:00:00,NE-MRBTS-660701,86676280.0,18823304,13853.0,65854,6381.0,15951.0,12191,50.0,4945.0,1256.0,12009.0,42206,9932472.0,90416.0,11805.0,61537,1216888.0,75704.0,12966149.0,2813603,169.0,19615,30565.0,53366.0
2025-05-08T15:30:00.000-04:00:00,NE-MRBTS-660701,489818368.0,21422832,39897.0,68688,7213.0,56349.0,17391,8.0,5595.0,1215.0,38780.0,41743,9726000.0,96306.0,38359.0,57150,2358160.0,134392.0,63549606.0,3431731,275.0,48960,26245.0,53455.0
2025-05-08T15:30:00.000-04:00:00,NE-MRBTS-660701,489818368.0,21422832,39897.0,68688,7213.0,56349.0,17391,8.0,5595.0,1215.0,38780.0,41743,9726000.0,96306.0,38359.0,57150,2358160.0,134392.0,63549606.0,3431731,275.0,48960,26245.0,53455.0
2025-05-08T15:30:00.000-04:00:00,NE-MRBTS-660701,489818368.0,21422832,39897.0,68688,7213.0,56349.0,17391,8.0,5595.0,1215.0,38780.0,41743,9726000.0,96306.0,38359.0,57150,2358160.0,134392.0,63549606.0,3431731,275.0,48960,26245.0,53455.0
2025-05-08T15:30:00.000-04:00:00,NE-MRBTS-660701,489818368.0,21422832,39897.0,68688,7213.0,56349.0,17391,8.0,5595.0,1215.0,38780.0,41743,9726000.0,96306.0,38359.0,57150,2358160.0,134392.0,63549606.0,3431731,275.0,48960,26245.0,53455.0
2025-05-08T10:00:00.000-03:00:00,NE-MRBTS-414225,40080592.0,2756080,3278.0,7755,1266.0,5631.0,2418,,983.0,635.0,2991.0,2391,5083944.0,34900.0,2964.0,7236,109672.0,7514.0,5873637.0,419357,,4696,2924.0,7262.0
2025-05-08T10:00:00.000-03:00:00,NE-MRBTS-414225,40080592.0,2756080,3278.0,7755,1266.0,5631.0,2418,,983.0,635.0,2991.0,2391,5083944.0,34900.0,2964.0,7236,109672.0,7514.0,5873637.0,419357,,4696,2924.0,7262.0
2025-05-08T10:00:00.000-03:00:00,NE-MRBTS-414225,40080592.0,2756080,3278.0,7755,1266.0,5631.0,2418,,983.0,635.0,2991.0,2391,5083944.0,34900.0,2964.0,7236,109672.0,7514.0,5873637.0,419357,,4696,2924.0,7262.0
2025-05-08T10:00:00.000-03:00:00,NE-MRBTS-414225,40080592.0,2756080,3278.0,7755,1266.0,5631.0,2418,,983.0,635.0,2991.0,2391,5083944.0,34900.0,2964.0,7236,109672.0,7514.0,5873637.0,419357,,4696,2924.0,7262.0
2025-05-08T10:15:00.000-03:00:00,NE-MRBTS-414225,48344.0,44000,14.0,341,42.0,73.0,69,,38.0,5.0,8.0,173,42400.0,374.0,5.0,341,3328.0,283.0,13191.0,7264,,91,619.0,753.0
2025-05-08T10:15:00.000-03:00:00,NE-MRBTS-414225,48344.0,44000,14.0,341,42.0,73.0,69,,38.0,5.0,8.0,173,42400.0,374.0,5.0,341,3328.0,283.0,13191.0,7264,,91,619.0,753.0
2025-05-08T10:15:00.000-03:00:00,NE-MRBTS-414225,48344.0,44000,14.0,341,42.0,73.0,69,,38.0,5.0,8.0,173,42400.0,374.0,5.0,341,3328.0,283.0,13191.0,7264,,91,619.0,753.0
2025-05-08T10:15:00.000-03:00:00,NE-MRBTS-414225,48344.0,44000,14.0,341,42.0,73.0,69,,38.0,5.0,8.0,173,42400.0,374.0,5.0,341,3328.0,283.0,13191.0,7264,,91,619.0,753.0
2025-05-08T10:30:00.000-03:00:00,NE-MRBTS-414225,1735616.0,463712,211.0,1357,411.0,754.0,507,,344.0,172.0,145.0,571,1377504.0,9627.0,120.0,1202,48152.0,3997.0,448184.0,82078,,732,1377.0,2904.0
2025-05-08T10:30:00.000-03:00:00,NE-MRBTS-414225,1735616.0,463712,211.0,1357,411.0,754.0,507,,344.0,172.0,145.0,571,1377504.0,9627.0,120.0,1202,48152.0,3997.0,448184.0,82078,,732,1377.0,2904.0
2025-05-08T10:30:00.000-03:00:00,NE-MRBTS-414225,1735616.0,463712,211.0,1357,411.0,754.0,507,,344.0,172.0,145.0,571,1377504.0,9627.0,120.0,1202,48152.0,3997.0,448184.0,82078,,732,1377.0,2904.0
2025-05-08T10:30:00.000-03:00:00,NE-MRBTS-414225,1735616.0,463712,211.0,1357,411.0,754.0,507,,344.0,172.0,145.0,571,1377504.0,9627.0,120.0,1202,48152.0,3997.0,448184.0,82078,,732,1377.0,2904.0
2025-05-08T10:45:00.000-03:00:00,NE-MRBTS-414225,7196224.0,364192,541.0,2028,385.0,1135.0,514,,279.0,164.0,499.0,786,1303992.0,8977.0,484.0,1949,12768.0,1691.0,533515.0,46653,,1188,350.0,1822.0
2025-05-08T10:45:00.000-03:00:00,NE-MRBTS-414225,7196224.0,364192,541.0,2028,385.0,1135.0,514,,279.0,164.0,499.0,786,1303992.0,8977.0,484.0,1949,12768.0,1691.0,533515.0,46653,,1188,350.0,1822.0
2025-05-08T10:45:00.000-03:00:00,NE-MRBTS-414225,7196224.0,364192,541.0,2028,385.0,1135.0,514,,279.0,164.0,499.0,786,1303992.0,8977.0,484.0,1949,12768.0,1691.0,533515.0,46653,,1188,350.0,1822.0
2025-05-08T10:45:00.000-03:00:00,NE-MRBTS-414225,7196224.0,364192,541.0,2028,385.0,1135.0,514,,279.0,164.0,499.0,786,1303992.0,8977.0,484.0,1949,12768.0,1691.0,533515.0,46653,,1188,350.0,1822.0
2025-05-08T11:00:00.000-03:00:00,NE-MRBTS-414225,16902024.0,2806552,1319.0,19608,2339.0,4264.0,3106,,2189.0,642.0,1237.0,5041,5137568.0,39133.0,1207.0,12739,178872.0,24726.0,3479988.0,515401,,5220,3535.0,11124.0
2025-05-08T11:00:00.000-03:00:00,NE-MRBTS-414225,16902024.0,2806552,1319.0,19608,2339.0,4264.0,3106,,2189.0,642.0,1237.0,5041,5137568.0,39133.0,1207.0,12739,178872.0,24726.0,3479988.0,515401,,5220,3535.0,11124.0
2025-05-08T11:00:00.000-03:00:00,NE-MRBTS-414225,16902024.0,2806552,1319.0,19608,2339.0,4264.0,3106,,2189.0,642.0,1237.0,5041,5137568.0,39133.0,1207.0,12739,178872.0,24726.0,3479988.0,515401,,5220,3535.0,11124.0
2025-05-08T11:00:00.000-03:00:00,NE-MRBTS-414225,16902024.0,2806552,1319.0,19608,2339.0,4264.0,3106,,2189.0,642.0,1237.0,5041,5137568.0,39133.0,1207.0,12739,178872.0,24726.0,3479988.0,515401,,5220,3535.0,11124.0
2025-05-08T11:15:00.000-03:00:00,NE-MRBTS-414225,182128.0,195304,78.0,1180,134.0,210.0,181,,125.0,32.0,34.0,601,264200.0,2039.0,15.0,1067,3168.0,505.0,64286.0,26561,,220,436.0,842.0
2025-05-08T11:15:00.000-03:00:00,NE-MRBTS-414225,182128.0,195304,78.0,1180,134.0,210.0,181,,125.0,32.0,34.0,601,264200.0,2039.0,15.0,1067,3168.0,505.0,64286.0,26561,,220,436.0,842.0
