createAt,manageObject,M8089C6,M8089C7,M8089C8,M8089C3,M8089C4,M8089C5
2025-05-07T14:30:00.000-04:00:00,NE-MRBTS-690501,64,64,56.0,,,
2025-05-07T15:00:00.000-04:00:00,NE-MRBTS-690501,32,31,26.0,,,
2025-05-07T15:00:00.000-04:00:00,NE-MRBTS-690501,32,31,26.0,,,
2025-05-07T15:00:00.000-04:00:00,NE-MRBTS-690501,32,31,26.0,,,
2025-05-07T15:00:00.000-04:00:00,NE-MRBTS-690501,32,31,26.0,,,
2025-05-07T15:15:00.000-04:00:00,NE-MRBTS-690501,22,22,18.0,,,
2025-05-07T15:15:00.000-04:00:00,NE-MRBTS-690501,22,22,18.0,,,
2025-05-07T15:15:00.000-04:00:00,NE-MRBTS-690501,22,22,18.0,,,
2025-05-07T15:15:00.000-04:00:00,NE-MRBTS-690501,22,22,18.0,,,
2025-05-07T15:30:00.000-04:00:00,NE-MRBTS-690501,5,5,5.0,6.0,,
2025-05-07T15:30:00.000-04:00:00,NE-MRBTS-690501,5,5,5.0,6.0,,
2025-05-07T15:30:00.000-04:00:00,NE-MRBTS-690501,5,5,5.0,6.0,,
2025-05-07T15:30:00.000-04:00:00,NE-MRBTS-690501,5,5,5.0,6.0,,
2025-05-07T16:00:00.000-04:00:00,NE-MRBTS-690501,41,41,40.0,,,
2025-05-07T16:00:00.000-04:00:00,NE-MRBTS-690501,41,41,40.0,,,
2025-05-07T16:00:00.000-04:00:00,NE-MRBTS-690501,41,41,40.0,,,
