createAt,manageObject,M8204C22,M8204C59,M8204C62,M8204C111,M8204C119,M8204C94,M8204C95,M8204C56,M8204C74,M8204C10,M8204C23,M8204C32,M8204C33,M8204C48,M8204C49,M8204C50,M8204C65,M8204C66,M8204C67,M8204C68,M8204C69,M8204C99,M8204C103,M8204C107,M8204C115,M8204C88,M8204C51
2025-05-07T01:00:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,146250,630040,,,,,,,,,,,,,,,,,,,,,,
2025-05-07T01:15:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,146250,629968,,,,,,,,,,,,,,,,,,,,,,
2025-05-07T01:30:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,146250,630040,,,,,,,,,,,,,,,,,,,,,,
2025-05-07T02:00:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,146250,630024,,,,,,,,,,,,,,,,,,,,,,
2025-05-07T02:15:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,146250,629984,,,,,,,,,,,,,,,,,,,,,,
2025-05-07T02:30:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,146250,629992,,,,,,,,,,,,,,,,,,,,,,
2025-05-07T03:00:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,146250,629976,,,,,,,,,,,,,,,,,,,,,,
2025-05-07T03:15:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,146250,630032,,,,,,,,,,,,,,,,,,,,,,
2025-05-07T03:30:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,146250,629976,,,,,,,,,,,,,,,,,,,,,,
2025-05-07T04:00:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,146250,629976,,,,,,,,,,,,,,,,,,,,,,
2025-05-07T04:15:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,146250,630000,,,,,,,,,,,,,,,,,,,,,,
2025-05-07T04:30:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,149504,630008,252.0,252.0,618.0,24.0,211.0,8.0,145.0,,206.0,5.0,,412.0,3810.0,211.0,388.0,3536.0,7944.0,7441.0,15240.0,623.0,,
2025-05-07T05:00:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,146250,630040,,,,,,,,,,,,,,,,,,,,,,
2025-05-07T05:15:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,146250,629968,,,,,,,,,,,,,,,,,,,,,,
2025-05-07T05:30:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,146250,630040,,,,,,,,,,,,,,,,,,,,,,
2025-05-07T06:00:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,146250,630024,,,,,,,,,,,,,,,,,,,,,,
2025-05-07T06:15:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,146250,629984,,,,,,,,,,,,,,,,,,,,,,
2025-05-07T06:30:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,146250,629992,,,,,,,,,,,,,,,,,,,,,,
2025-05-07T07:00:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,146250,629976,,,,,,,,,,,,,,,,,,,,,,
2025-05-07T07:15:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,146250,630032,,,,,,,,,,,,,,,,,,,,,,
2025-05-07T07:30:00.000-03:00:00,NE-MRBTS-690204,900,67500,26,146250,629976,,,,,,,,,,,,,,,,,,,,,,
