createAt,manageObject,M8029C207,M8029C209,M8029C210,M8029C211,M8029C31,M8029C32,M8029C186,M8029C187,M8029C188,M8029C189,M8029C190,M8029C191,M8029C192,M8029C193,M8029C194,M8029C196,M8029C198,M8029C199,M8029C200,M8029C201,M8029C202,M8029C203,M8029C204,M8029C205,M8029C224,M8029C195,M8029C197,M8029C208
2025-05-07T10:30:00.000-04:00:00,NE-MRBTS-660701,20.0,54.0,131.0,100,39.0,131.0,253.0,489.0,384.0,301.0,32.0,27.0,20.0,16.0,1.0,1.0,219.0,450.0,357.0,283.0,22.0,23.0,18.0,15.0,90000,2.0,,
2025-05-07T10:45:00.000-04:00:00,NE-MRBTS-660701,21.0,23.0,149.0,100,21.0,86.0,174.0,356.0,294.0,232.0,6.0,13.0,8.0,12.0,,1.0,168.0,339.0,282.0,220.0,6.0,10.0,8.0,12.0,90000,1.0,,
2025-05-07T11:00:00.000-04:00:00,NE-MRBTS-660701,21.0,40.0,105.0,100,23.0,103.0,129.0,352.0,291.0,214.0,,19.0,5.0,11.0,,,129.0,329.0,286.0,203.0,,13.0,4.0,11.0,90000,1.0,,
2025-05-07T11:15:00.000-04:00:00,NE-MRBTS-660701,23.0,25.0,187.0,100,12.0,153.0,1102.0,1585.0,1390.0,1448.0,102.0,52.0,61.0,94.0,,,1000.0,1533.0,1329.0,1354.0,102.0,52.0,61.0,94.0,90000,,,
2025-05-07T11:30:00.000-04:00:00,NE-MRBTS-660701,18.0,20.0,84.0,100,11.0,72.0,72.0,233.0,174.0,109.0,5.0,4.0,5.0,3.0,,,67.0,229.0,169.0,106.0,5.0,4.0,5.0,3.0,90000,,,
2025-05-07T11:45:00.000-04:00:00,NE-MRBTS-660701,22.0,20.0,144.0,100,32.0,104.0,416.0,790.0,702.0,528.0,10.0,24.0,24.0,14.0,,,406.0,762.0,678.0,510.0,10.0,24.0,24.0,14.0,90000,1.0,1.0,
2025-05-07T12:00:00.000-04:00:00,NE-MRBTS-660701,18.0,65.0,852.0,100,11.0,178.0,786.0,812.0,709.0,584.0,124.0,107.0,117.0,98.0,,,660.0,703.0,591.0,484.0,118.0,103.0,113.0,96.0,90000,,,
2025-05-07T12:15:00.000-04:00:00,NE-MRBTS-660701,22.0,84.0,493.0,100,49.0,262.0,5116.0,5377.0,5101.0,5303.0,801.0,663.0,514.0,430.0,4.0,3.0,4151.0,4583.0,4460.0,4727.0,767.0,639.0,500.0,417.0,90000,2.0,,
2025-05-07T12:30:00.000-04:00:00,NE-MRBTS-660701,21.0,59.0,240.0,100,33.0,162.0,4076.0,3935.0,3383.0,3127.0,834.0,698.0,475.0,384.0,,3.0,3241.0,3234.0,2895.0,2743.0,827.0,698.0,466.0,381.0,90000,3.0,,
2025-05-07T12:45:00.000-04:00:00,NE-MRBTS-660701,22.0,72.0,194.0,100,21.0,156.0,515.0,480.0,483.0,427.0,53.0,50.0,62.0,55.0,2.0,,462.0,426.0,421.0,370.0,45.0,43.0,56.0,49.0,90000,1.0,2.0,
