createAt,manageObject,M8038C0,M8038C1,M8038C2,M8038C3,M8038C4,M8038C5,M8038C26,M8038C27,M8038C44,M8038C45,M8038C53,M8038C6,M8038C7,M8038C50,M8038C79,M8038C80,M8038C8,M8038C9,M8038C49,M8038C56,M8038C76,M8038C77
2025-05-08T11:00:00.000-03:00:00,NE-MRBTS-771801,3283.0,900,113922676.0,10712.0,6295712.0,6089.0,35945808.0,55326.0,862359704.0,73521.0,,124645.0,900000,1665882.0,92.0,74.0,83440.0,900000,238272.0,106.0,100.0,14.0
2025-05-08T11:15:00.000-03:00:00,NE-MRBTS-771801,3083.0,900,4700078.0,8683.0,1242393.0,997.0,6384328.0,7306.0,27476576.0,2777.0,,37514.0,900000,86906.0,92.0,4.0,15940.0,900000,49000.0,100.0,95.0,3.0
2025-05-08T11:30:00.000-03:00:00,NE-MRBTS-771801,2610.0,900,2029601.0,8311.0,1260454.0,875.0,7715656.0,6235.0,10877896.0,971.0,,15739.0,900000,36286.0,92.0,2.0,8166.0,900000,37784.0,100.0,80.0,2.0
2025-05-08T12:00:00.000-03:00:00,NE-MRBTS-771801,2306.0,900,63072990.0,6968.0,6475112.0,704.0,41811504.0,92294.0,463411832.0,35503.0,,88367.0,900000,880480.0,92.0,39.0,130025.0,900000,552996.0,103.0,95.0,32.0
2025-05-08T12:15:00.000-03:00:00,NE-MRBTS-771801,3556.0,900,140346505.0,6360.0,16029487.0,544.0,95911808.0,72520.0,1054983656.0,90574.0,,168116.0,900000,2007406.0,92.0,90.0,112788.0,900000,470131.0,106.0,100.0,27.0
2025-05-08T12:30:00.000-03:00:00,NE-MRBTS-771801,3492.0,900,129591034.0,6115.0,6987257.0,692.0,32465232.0,31145.0,981479344.0,84723.0,1.0,150403.0,900000,1798323.0,92.0,80.0,58214.0,900000,232900.0,102.0,95.0,13.0
2025-05-08T13:00:00.000-03:00:00,NE-MRBTS-771801,3616.0,900,8647163.0,12299.0,3282174.0,1275.0,20189312.0,16429.0,51346408.0,4958.0,4.0,60793.0,900000,156551.0,92.0,7.0,36580.0,900000,108253.0,101.0,95.0,6.0
2025-05-08T13:15:00.000-03:00:00,NE-MRBTS-771801,3059.0,900,12820603.0,10399.0,2551093.0,923.0,15035888.0,13845.0,86925160.0,8085.0,,49531.0,900000,199029.0,92.0,9.0,23652.0,900000,99971.0,101.0,95.0,6.0
2025-05-08T13:30:00.000-03:00:00,NE-MRBTS-771801,3673.0,900,93988809.0,10009.0,8465463.0,929.0,51348136.0,69735.0,706506024.0,73106.0,1.0,131948.0,900000,1400557.0,92.0,62.0,90470.0,900000,272328.0,104.0,100.0,16.0
2025-05-08T14:00:00.000-03:00:00,NE-MRBTS-771801,3655.0,900,25055227.0,8611.0,5364669.0,777.0,32394576.0,81429.0,172668600.0,22326.0,1.0,108542.0,900000,490259.0,92.0,22.0,126681.0,900000,450572.0,104.0,100.0,26.0
2025-05-08T14:15:00.000-03:00:00,NE-MRBTS-771801,3571.0,900,61606388.0,8831.0,5363453.0,786.0,30713216.0,87910.0,460266784.0,39531.0,,141181.0,900000,906665.0,92.0,40.0,123443.0,900000,353698.0,103.0,95.0,20.0
2025-05-08T14:30:00.000-03:00:00,NE-MRBTS-771801,4185.0,900,21518333.0,9908.0,5426839.0,910.0,31899448.0,100417.0,138535392.0,20449.0,,168319.0,900000,471496.0,92.0,21.0,161240.0,900000,488125.0,105.0,100.0,28.0
2025-05-08T15:00:00.000-03:00:00,NE-MRBTS-771801,3675.0,900,23814350.0,10786.0,4823788.0,2665.0,31391152.0,36056.0,170247848.0,18933.0,1.0,81840.0,900000,444851.0,92.0,20.0,59153.0,900000,216718.0,105.0,100.0,12.0
2025-05-08T15:15:00.000-03:00:00,NE-MRBTS-771801,4113.0,900,74905355.0,11254.0,4953857.0,1231.0,30535544.0,53276.0,572327272.0,55914.0,,117285.0,900000,1251056.0,92.0,56.0,76275.0,900000,248286.0,102.0,95.0,14.0
2025-05-08T15:30:00.000-03:00:00,NE-MRBTS-771801,3650.0,900,6600784.0,10621.0,3764494.0,1268.0,24541208.0,15233.0,38345272.0,4574.0,,43047.0,900000,143993.0,92.0,6.0,26416.0,900000,119149.0,101.0,95.0,7.0
2025-05-08T16:00:00.000-03:00:00,NE-MRBTS-771801,3953.0,900,15199119.0,8951.0,9731076.0,2825.0,69554624.0,26649.0,95111408.0,9119.0,,57755.0,900000,274499.0,92.0,12.0,50220.0,900000,215407.0,102.0,95.0,12.0
2025-05-08T16:15:00.000-03:00:00,NE-MRBTS-771801,4067.0,900,18580737.0,10676.0,4375381.0,1238.0,29397824.0,25303.0,129294936.0,13037.0,1.0,48277.0,900001,329655.0,92.0,15.0,36357.0,900000,156877.0,102.0,95.0,9.0
2025-05-08T16:30:00.000-03:00:00,NE-MRBTS-771801,1467.0,900,10659832.0,5150.0,4970457.0,4338.0,30517552.0,16553.0,57231288.0,8667.0,,35128.0,900001,273212.0,92.0,12.0,28594.0,900000,128185.0,103.0,95.0,7.0
2025-05-06T15:00:00.000-03:00:00,NE-MRBTS-341601,24239.0,900,229330505.0,131471.0,23161602.0,33852.0,154571856.0,341105.0,1682947712.0,178660.0,31.0,431707.0,900000,3576223.0,100.0,158.0,550787.0,900000,2132611.0,134.0,100.0,116.0
2025-05-06T15:15:00.000-03:00:00,NE-MRBTS-341601,25388.0,900,355463210.0,133316.0,25083545.0,35416.0,169454976.0,493256.0,2615240376.0,314434.0,88.0,577655.0,900000,6047733.0,100.0,269.0,701839.0,900000,2493040.0,135.0,100.0,135.0
2025-05-06T15:30:00.000-03:00:00,NE-MRBTS-341601,23445.0,900,271026366.0,132317.0,19197759.0,31242.0,113153824.0,289970.0,1999621512.0,266953.0,1.0,516475.0,900000,5085769.0,100.0,226.0,486060.0,900000,1552123.0,126.0,100.0,84.0
2025-05-06T16:00:00.000-03:00:00,NE-MRBTS-341601,21842.0,900,250008388.0,132612.0,21742554.0,29988.0,126095144.0,264387.0,1750423752.0,172483.0,1.0,478228.0,900000,3812378.0,100.0,170.0,446775.0,900000,1629324.0,122.0,100.0,89.0
2025-05-06T16:15:00.000-03:00:00,NE-MRBTS-341601,22551.0,900,389514843.0,112528.0,30240765.0,25716.0,192825632.0,579774.0,2947057232.0,340847.0,13.0,579650.0,900000,6479340.0,100.0,288.0,742917.0,900000,2532149.0,139.0,100.0,137.0
2025-05-06T16:30:00.000-03:00:00,NE-MRBTS-341601,21264.0,900,1103333904.0,105504.0,52899821.0,29764.0,350527200.0,767334.0,8533523896.0,722840.0,67.0,1056712.0,900000,13215832.0,100.0,587.0,1010435.0,900000,2994632.0,154.0,100.0,162.0
2025-05-06T17:00:00.000-03:00:00,NE-MRBTS-341601,19504.0,900,511927665.0,95589.0,29463285.0,23430.0,197760128.0,449777.0,3753907704.0,425135.0,1.0,691828.0,900000,7240671.0,100.0,322.0,734734.0,900000,2748902.0,129.0,100.0,149.0
2025-05-06T17:15:00.000-03:00:00,NE-MRBTS-341601,16644.0,900,140376481.0,99455.0,15232114.0,29458.0,105378232.0,383738.0,1042903592.0,150509.0,179.0,401340.0,900000,2947287.0,100.0,131.0,834455.0,900000,2682229.0,160.0,100.0,146.0
2025-05-06T17:30:00.000-03:00:00,NE-MRBTS-341601,13249.0,900,109011524.0,78649.0,12367756.0,25720.0,87862352.0,318005.0,804577784.0,129645.0,54.0,397958.0,900002,2792649.0,100.0,125.0,546229.0,900000,1719599.0,138.0,100.0,93.0
2025-05-06T18:00:00.000-03:00:00,NE-MRBTS-341601,6937.0,900,66033208.0,46653.0,6301119.0,18048.0,41634128.0,154459.0,461890040.0,56431.0,,149010.0,900000,1331653.0,100.0,59.0,219341.0,900000,942337.0,115.0,100.0,51.0
2025-05-06T18:15:00.000-03:00:00,NE-MRBTS-341601,5556.0,900,10012531.0,47396.0,2243892.0,16906.0,15231216.0,63745.0,66354280.0,12900.0,17.0,53308.0,900000,293832.0,100.0,13.0,106183.0,900000,334250.0,110.0,100.0,18.0
2025-05-06T18:30:00.000-03:00:00,NE-MRBTS-341601,4833.0,900,24842487.0,37171.0,3931968.0,13981.0,27695328.0,186413.0,171525656.0,37544.0,1.0,86229.0,900000,782863.0,100.0,35.0,251891.0,900000,853091.0,119.0,100.0,46.0
2025-05-06T19:00:00.000-03:00:00,NE-MRBTS-341601,6453.0,900,1125981151.0,47481.0,16393379.0,19924.0,118898584.0,365193.0,8646981040.0,516880.0,1.0,588415.0,900000,12033614.0,100.0,535.0,447548.0,900000,1091072.0,112.0,100.0,59.0
2025-05-06T19:15:00.000-03:00:00,NE-MRBTS-341601,7410.0,900,1114690844.0,54137.0,32841917.0,18978.0,246601976.0,460917.0,8526551536.0,491546.0,1.0,588945.0,900000,10407400.0,100.0,463.0,567266.0,900000,2403048.0,130.0,100.0,130.0
