createAt,manageObject,M8006C0,M8006C1,M8006C53,M8006C54,M8006C196,M8006C214,M8006C232,M8006C254,M8006C255,M8006C256,M8006C180,M8006C185,M8006C243,M8006C6,M8006C247,M8006C7,M8006C313,M8006C339,M8006C340,M8006C262,M8006C263,M8006C264,M8006C346,M8006C205,M8006C223,M8006C347,M8006C259,M8006C246
2025-05-08T01:15:00.000-04:00:00,NE-MRBTS-660701,14.0,14.0,1553.0,900,14.0,14.0,3.0,13.0,13.0,,,195.0,,,,,,,,,,,,,,,,
2025-05-08T01:30:00.000-04:00:00,NE-MRBTS-660701,16.0,16.0,1382.0,900,16.0,16.0,3.0,17.0,17.0,,,155.0,,,,,,,,,,,,,,,,
2025-05-08T01:45:00.000-04:00:00,NE-MRBTS-660701,21.0,21.0,1570.0,900,21.0,21.0,3.0,20.0,20.0,,,179.0,,,,,,,,,,,,,,,,
2025-05-08T02:00:00.000-04:00:00,NE-MRBTS-660701,19.0,19.0,1567.0,900,19.0,19.0,3.0,20.0,20.0,,,238.0,,,,,,,,,,,,,,,,
2025-05-08T02:15:00.000-04:00:00,NE-MRBTS-660701,15.0,15.0,1633.0,900,15.0,15.0,3.0,15.0,15.0,,,187.0,,,,,,,,,,,,,,,,
2025-05-08T02:30:00.000-04:00:00,NE-MRBTS-660701,31.0,31.0,1924.0,900,31.0,31.0,3.0,30.0,30.0,,,227.0,,,,,,,,,,,,,,,,
2025-05-08T02:45:00.000-04:00:00,NE-MRBTS-660701,22.0,22.0,1612.0,900,22.0,22.0,4.0,23.0,23.0,,,158.0,,,,,,,,,,,,,,,,
2025-05-08T03:00:00.000-04:00:00,NE-MRBTS-660701,24.0,24.0,1537.0,900,24.0,24.0,3.0,23.0,21.0,2.0,1.0,121.0,1.0,,,,,,,,,,,,,,,
2025-05-08T03:15:00.000-04:00:00,NE-MRBTS-660701,31.0,31.0,1060.0,900,31.0,31.0,3.0,32.0,31.0,1.0,1.0,94.0,1.0,,,,,,,,,,,,,,,
2025-05-08T03:30:00.000-04:00:00,NE-MRBTS-660701,30.0,30.0,1158.0,900,30.0,30.0,3.0,30.0,30.0,,,192.0,,,,,,,,,,,,,,,,
2025-05-08T03:45:00.000-04:00:00,NE-MRBTS-660701,42.0,42.0,1241.0,900,42.0,42.0,3.0,42.0,42.0,,,71.0,,,,,,,,,,,,,,,,
2025-05-08T04:00:00.000-04:00:00,NE-MRBTS-660701,37.0,37.0,962.0,900,37.0,37.0,3.0,38.0,38.0,,,77.0,,,,,,,,,,,,,,,,
2025-05-08T04:15:00.000-04:00:00,NE-MRBTS-660701,37.0,37.0,1242.0,900,37.0,37.0,3.0,35.0,35.0,,,106.0,,,,,,,,,,,,,,,,
2025-05-08T04:30:00.000-04:00:00,NE-MRBTS-660701,39.0,39.0,1041.0,900,39.0,39.0,3.0,39.0,39.0,,,65.0,,,,,,,,,,,,,,,,
2025-05-08T04:45:00.000-04:00:00,NE-MRBTS-660701,25.0,25.0,1432.0,900,25.0,25.0,3.0,26.0,26.0,,,144.0,,,,,,,,,,,,,,,,
2025-05-08T05:00:00.000-04:00:00,NE-MRBTS-660701,40.0,40.0,1385.0,900,40.0,40.0,4.0,39.0,39.0,,,73.0,,,,,,,,,,,,,,,,
2025-05-08T05:15:00.000-04:00:00,NE-MRBTS-660701,53.0,53.0,1913.0,900,53.0,53.0,5.0,53.0,53.0,,,182.0,,,,,,,,,,,,,,,,
2025-05-08T05:30:00.000-04:00:00,NE-MRBTS-660701,44.0,44.0,2094.0,900,44.0,44.0,6.0,42.0,42.0,,,430.0,,,,,,,,,,,,,,,,
2025-05-08T05:45:00.000-04:00:00,NE-MRBTS-660701,64.0,64.0,2993.0,900,64.0,64.0,6.0,62.0,62.0,,,606.0,,3.0,,,,,,,,,,,,,,
2025-05-08T06:00:00.000-04:00:00,NE-MRBTS-660701,93.0,93.0,3693.0,900,93.0,93.0,8.0,91.0,90.0,1.0,1.0,1037.0,1.0,1.0,,,,,,,,,,,,,,
2025-05-08T06:15:00.000-04:00:00,NE-MRBTS-660701,80.0,80.0,3498.0,900,80.0,80.0,8.0,78.0,77.0,1.0,1.0,632.0,1.0,,,,,,,,,,,,,,,
2025-05-08T06:30:00.000-04:00:00,NE-MRBTS-660701,77.0,77.0,3248.0,900,77.0,77.0,7.0,78.0,78.0,,,386.0,,,,,,,,,,,,,,,,
2025-05-08T06:45:00.000-04:00:00,NE-MRBTS-660701,81.0,81.0,2885.0,900,81.0,81.0,8.0,83.0,79.0,4.0,3.0,637.0,3.0,,,,,,,,,,,,,,,
2025-05-08T07:00:00.000-04:00:00,NE-MRBTS-660701,85.0,85.0,4721.0,900,85.0,85.0,10.0,82.0,82.0,,,734.0,,2.0,,,,,,,,,,,,,,
2025-05-08T07:15:00.000-04:00:00,NE-MRBTS-660701,84.0,84.0,4673.0,900,84.0,84.0,9.0,80.0,79.0,1.0,1.0,713.0,1.0,3.0,,,,,,,,,,,,,,
2025-05-08T07:30:00.000-04:00:00,NE-MRBTS-660701,81.0,81.0,5168.0,900,81.0,81.0,10.0,80.0,80.0,,,1681.0,,1.0,,,,,,,,,,,,,,
2025-05-08T07:45:00.000-04:00:00,NE-MRBTS-660701,97.0,97.0,4694.0,900,97.0,97.0,9.0,95.0,88.0,7.0,5.0,1328.0,5.0,1.0,,,,,,,,,,,,,,
2025-05-08T08:00:00.000-04:00:00,NE-MRBTS-660701,96.0,96.0,4259.0,900,96.0,96.0,9.0,98.0,94.0,4.0,2.0,830.0,2.0,1.0,,,,,,,,,,,,,,
2025-05-08T08:15:00.000-04:00:00,NE-MRBTS-660701,104.0,103.0,3687.0,900,104.0,103.0,9.0,99.0,92.0,7.0,6.0,530.0,6.0,1.0,,,,,,,,,,,,,,
2025-05-08T08:30:00.000-04:00:00,NE-MRBTS-660701,120.0,121.0,4336.0,900,120.0,121.0,9.0,123.0,115.0,8.0,6.0,542.0,6.0,,,,,,,,,,,,,,,
2025-05-08T08:45:00.000-04:00:00,NE-MRBTS-660701,75.0,75.0,4847.0,900,75.0,75.0,9.0,65.0,61.0,4.0,4.0,1308.0,4.0,7.0,,,,,,,,,,,,,,
2025-05-08T09:00:00.000-04:00:00,NE-MRBTS-660701,89.0,89.0,3934.0,900,89.0,89.0,7.0,91.0,88.0,3.0,2.0,519.0,2.0,2.0,,,,,,,,,,,,,,
2025-05-08T09:15:00.000-04:00:00,NE-MRBTS-660701,93.0,93.0,4115.0,900,93.0,93.0,9.0,88.0,85.0,3.0,3.0,545.0,3.0,4.0,,,,,,,,,,,,,,
2025-05-08T09:30:00.000-04:00:00,NE-MRBTS-660701,77.0,76.0,3013.0,900,77.0,76.0,7.0,74.0,73.0,1.0,,589.0,,2.0,1.0,,,,,,,,,,,,,
2025-05-08T09:45:00.000-04:00:00,NE-MRBTS-660701,67.0,67.0,3662.0,900,67.0,67.0,7.0,68.0,65.0,3.0,1.0,817.0,1.0,,,,,,,,,,,,,,,
2025-05-08T10:00:00.000-04:00:00,NE-MRBTS-660701,70.0,70.0,2670.0,900,70.0,70.0,6.0,71.0,71.0,,,365.0,,,,,,,,,,,,,,,,
